params,feature,model,mean_test_average_precision,mean_test_f1,mean_test_precision,mean_test_recall,mean_test_roc_auc
"{'SVM__C': 1.1670137678830994, 'SVM__gamma': 0.01797749219488181, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7197537639643978,0.6772673975088388,0.5926374156708343,0.7922619047619047,0.8772836102233039
"{'SVM__C': 0.9346598275601614, 'SVM__gamma': 0.013889050912651796, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7097270263427077,0.6675384174635721,0.5712816181765568,0.8047193877551021,0.8694640281280135
"{'SVM__C': 58.9189686751953, 'SVM__gamma': 0.06584516697990206, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7079045032936315,0.6320694742806297,0.7255466881205006,0.5621173469387755,0.8605164706567493
"{'SVM__C': 3.0374373651663724, 'SVM__gamma': 0.017178436864192403, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.716337855999266,0.6917384416084333,0.6287393637221151,0.7715986394557823,0.8775184006193474
"{'SVM__C': 28.355440845215828, 'SVM__gamma': 0.06036390968620545, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7108445274388907,0.6383540915496447,0.7251558819851636,0.5725340136054421,0.8615626944623636
"{'SVM__C': 0.6147681080074571, 'SVM__gamma': 0.05749185267112952, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7301464228840503,0.6758479757222152,0.6401402060741022,0.7175595238095237,0.8778879116900592
"{'SVM__C': 81.6381368271024, 'SVM__gamma': 0.0021682867029728784, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.6931278040867723,0.6834382663198391,0.6035026543879578,0.7903061224489796,0.8704687550906378
"{'SVM__C': 12.17195546676318, 'SVM__gamma': 0.005938933756468732, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7005192634255298,0.6795413738620395,0.6022297791838652,0.7819727891156463,0.8733797548593193
"{'SVM__C': 6.326147292744769, 'SVM__gamma': 0.06122322768201859, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7212149189543159,0.6325314113320196,0.7220755294768452,0.5641581632653061,0.8692226524829281
"{'SVM__C': 1.0466207974199953, 'SVM__gamma': 0.03212662044321911, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7291856284453291,0.6978496738594198,0.6384380812400086,0.7715561224489795,0.8812896876303205
"{'SVM__C': 34.854014430389924, 'SVM__gamma': 0.056256846543721935, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7121814361057789,0.6468149062680684,0.7167015572118267,0.5912840136054421,0.8644278947809967
"{'SVM__C': 7.988744613529746, 'SVM__gamma': 0.006803956335980225, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7033503691979781,0.6814069193970778,0.6000012127785151,0.7903061224489796,0.8737937560680402
"{'SVM__C': 7.544632385121267, 'SVM__gamma': 0.02290163581857119, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7080301350862077,0.6875535053403081,0.6780796001773138,0.6988945578231293,0.8651102825589048
"{'SVM__C': 3.069738183117932, 'SVM__gamma': 0.007799145491931949, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7087250821642501,0.6865138969718451,0.5956589304502018,0.8110119047619048,0.8740348955075324
"{'SVM__C': 4.1409555474790025, 'SVM__gamma': 0.030734574518379392, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.7164241537896553,0.6892269961428636,0.685091753509105,0.6948129251700681,0.8725011637197981
"{'SVM__C': 13.286323715350136, 'SVM__gamma': 0.01105166275230239, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.6946637320001499,0.6837519363157366,0.6415720678933264,0.734141156462585,0.8652985933956915
"{'SVM__C': 12.810460362767616, 'SVM__gamma': 0.013046697342045463, 'SVM__kernel': 'rbf'}",feature_AAcomposition,SVM,0.701297285927972,0.6855601247839275,0.6513650107546444,0.7258503401360543,0.8634653549518466
"{'MLP__hidden_layer_sizes': (100,)}",feature_AAcomposition,MLP,0.7083782184136547,0.6779903617360972,0.704593474719865,0.6555697278911563,0.8641651262396721
"{'MLP__hidden_layer_sizes': (100, 100)}",feature_AAcomposition,MLP,0.7192452306573531,0.6673965801073816,0.7136197724027067,0.6286139455782312,0.8645646680008211
"{'RF__n_estimators': 161, 'RF__max_features': 0.6500000000000001, 'RF__max_depth': 37}",feature_AAcomposition,RF,0.7391239270123936,0.6233616760940602,0.7659690159588741,0.5288690476190476,0.8790294811051815
"{'RF__n_estimators': 171, 'RF__max_features': 0.45000000000000007, 'RF__max_depth': 17}",feature_AAcomposition,RF,0.745119020022104,0.6241141047178445,0.7725460307989971,0.5266581632653061,0.8789818306992337
"{'RF__n_estimators': 111, 'RF__max_features': 0.1, 'RF__max_depth': 19}",feature_AAcomposition,RF,0.7485332808721089,0.5985667039000373,0.783937006060418,0.4873724489795919,0.8835727154846612
"{'RF__n_estimators': 111, 'RF__max_features': 0.6500000000000001, 'RF__max_depth': 41}",feature_AAcomposition,RF,0.7368651437606477,0.6289130681750674,0.7650884146424943,0.5371598639455782,0.8769359115173847
"{'RF__n_estimators': 191, 'RF__max_features': 0.30000000000000004, 'RF__max_depth': 11}",feature_AAcomposition,RF,0.7445109591492358,0.6090667000973065,0.8127359329389692,0.4914965986394558,0.8785669335382621
"{'RF__n_estimators': 121, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 21}",feature_AAcomposition,RF,0.7466843295422461,0.6212416605575088,0.7743866801861283,0.5227040816326529,0.8809501960506425
"{'RF__n_estimators': 91, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 37}",feature_AAcomposition,RF,0.7433831491615859,0.6237015254994998,0.76825129275841,0.5288690476190475,0.879268358265241
"{'RF__n_estimators': 131, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 19}",feature_AAcomposition,RF,0.7478261045987922,0.6214231109391357,0.7782145146654177,0.5206207482993197,0.8821765072767613
"{'RF__n_estimators': 141, 'RF__max_features': 0.3500000000000001, 'RF__max_depth': 11}",feature_AAcomposition,RF,0.7455816439786155,0.6077942316760504,0.8028583726555996,0.493579931972789,0.8776857970798473
"{'RF__n_estimators': 121, 'RF__max_features': 0.6500000000000001, 'RF__max_depth': 27}",feature_AAcomposition,RF,0.7371341862164105,0.6308188585259412,0.7615815097313099,0.5413690476190476,0.8775473958740585
"{'RF__n_estimators': 141, 'RF__max_features': 0.6000000000000002, 'RF__max_depth': 15}",feature_AAcomposition,RF,0.7446859267535549,0.6315513161018622,0.7740081238002905,0.53703231292517,0.8764097146880783
"{'RF__n_estimators': 121, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 19}",feature_AAcomposition,RF,0.7498040190973713,0.6196185745255339,0.7811103989169895,0.5184948979591837,0.8822043092859749
"{'RF__n_estimators': 141, 'RF__max_features': 0.20000000000000004, 'RF__max_depth': 45}",feature_AAcomposition,RF,0.7454265802114757,0.6139578439672072,0.7801751416210129,0.5081632653061223,0.8824248784762947
"{'RF__n_estimators': 131, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 13}",feature_AAcomposition,RF,0.7480612738816095,0.6159825938638658,0.7878710042113823,0.5102465986394559,0.8802500042761358
"{'RF__n_estimators': 161, 'RF__max_features': 0.6500000000000001, 'RF__max_depth': 27}",feature_AAcomposition,RF,0.7389914412973183,0.6285115463041715,0.7682897603485839,0.5351190476190476,0.8790513321588213
"{'RF__n_estimators': 181, 'RF__max_features': 0.25000000000000006, 'RF__max_depth': 15}",feature_AAcomposition,RF,0.7462134559462371,0.6172993569805542,0.7843761434841803,0.5123299319727892,0.8799005686446033
"{'RF__n_estimators': 101, 'RF__max_features': 0.30000000000000004, 'RF__max_depth': 19}",feature_AAcomposition,RF,0.7407675616935131,0.6377995099442064,0.7974997968226964,0.5331207482993197,0.8789428282687595
"{'RF__n_estimators': 101, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 39}",feature_AAcomposition,RF,0.7442522877086086,0.6237709883854183,0.7721250974548937,0.526828231292517,0.8798728827019314
"{'RF__n_estimators': 101, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 35}",feature_AAcomposition,RF,0.7442690549788971,0.6237709883854183,0.7721250974548937,0.526828231292517,0.8798727849616859
"{'RF__n_estimators': 171, 'RF__max_features': 0.30000000000000004, 'RF__max_depth': 13}",feature_AAcomposition,RF,0.7463655148549961,0.6131791724434112,0.7940130240130239,0.5038690476190475,0.8799094589344358
"{'RF__n_estimators': 131, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 15}",feature_AAcomposition,RF,0.7495884899252214,0.6179415878198223,0.7734826985098529,0.5186649659863946,0.8814447545660986
"{'RF__n_estimators': 191, 'RF__max_features': 0.45000000000000007, 'RF__max_depth': 13}",feature_AAcomposition,RF,0.7497464429173281,0.6237659984824646,0.7987035009967833,0.5162840136054422,0.8795770280693695
"{'RF__n_estimators': 131, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 31}",feature_AAcomposition,RF,0.7447502175493873,0.6223710668885978,0.7775605842390647,0.5227040816326531,0.8810277885699298
"{'RF__n_estimators': 141, 'RF__max_features': 0.20000000000000004, 'RF__max_depth': 29}",feature_AAcomposition,RF,0.7454761218733312,0.6139578439672072,0.7801751416210129,0.5081632653061223,0.8824176945682488
"{'RF__n_estimators': 71, 'RF__max_features': 0.7000000000000002, 'RF__max_depth': 49}",feature_AAcomposition,RF,0.7327034315694858,0.6278833841115408,0.7634933017564303,0.5391581632653061,0.8727536104839444
"{'RF__n_estimators': 101, 'RF__max_features': 0.3500000000000001, 'RF__max_depth': 17}",feature_AAcomposition,RF,0.7440215920065891,0.6225079885739979,0.7791791916061939,0.5206207482993197,0.8780432657378086
"{'RF__n_estimators': 131, 'RF__max_features': 0.6500000000000001, 'RF__max_depth': 19}",feature_AAcomposition,RF,0.7428897038198998,0.6254644606973702,0.7694865277423228,0.5309098639455783,0.8779453096492429
"{'RF__n_estimators': 191, 'RF__max_features': 0.30000000000000004, 'RF__max_depth': 19}",feature_AAcomposition,RF,0.7460951070574628,0.6213757826046645,0.7950667251483517,0.5123299319727891,0.8811216864020512
"{'RF__n_estimators': 191, 'RF__max_features': 0.20000000000000004, 'RF__max_depth': 13}",feature_AAcomposition,RF,0.7466014441431051,0.6054119498398498,0.7937625108536894,0.4915391156462585,0.8812443381926525
"{'RF__n_estimators': 161, 'RF__max_features': 0.20000000000000004, 'RF__max_depth': 31}",feature_AAcomposition,RF,0.7467967459128297,0.6136961089556858,0.7812569067051826,0.5081207482993196,0.8828307977884642
"{'RF__n_estimators': 71, 'RF__max_features': 0.25000000000000006, 'RF__max_depth': 9}",feature_AAcomposition,RF,0.736904381407639,0.5613279390056135,0.8197332726558441,0.43125,0.8759531089135846
"{'RF__n_estimators': 181, 'RF__max_features': 0.30000000000000004, 'RF__max_depth': 23}",feature_AAcomposition,RF,0.7413743796350841,0.6292930465770367,0.7972858183259037,0.5227040816326529,0.8804118560139573
"{'RF__n_estimators': 161, 'RF__max_features': 0.30000000000000004, 'RF__max_depth': 31}",feature_AAcomposition,RF,0.7415160696012955,0.628714310086755,0.7981378193848748,0.5206207482993197,0.8806628254750176
"{'RF__n_estimators': 61, 'RF__max_features': 0.6500000000000001, 'RF__max_depth': 27}",feature_AAcomposition,RF,0.7270105486478552,0.6271163035074144,0.7472440579649051,0.5434098639455782,0.8746106700582532
"{'RF__n_estimators': 81, 'RF__max_features': 0.15000000000000002, 'RF__max_depth': 9}",feature_AAcomposition,RF,0.7365276669668779,0.5396983315472555,0.8329704921515267,0.4043367346938777,0.8735281673133812
"{'RF__n_estimators': 21, 'RF__max_features': 0.5500000000000002, 'RF__max_depth': 15}",feature_AAcomposition,RF,0.7178257420285898,0.6335239257709555,0.7568385818793971,0.5475765306122449,0.8674191504906559
"{'RF__n_estimators': 141, 'RF__max_features': 0.7000000000000002, 'RF__max_depth': 15}",feature_AAcomposition,RF,0.7454898390075576,0.6244824055421778,0.7868175651996454,0.5226615646258503,0.8761616947425521
"{'RF__n_estimators': 191, 'RF__max_features': 0.3500000000000001, 'RF__max_depth': 13}",feature_AAcomposition,RF,0.7509933992801183,0.6121715192814597,0.7789529921183147,0.5081207482993197,0.8813258779924806
"{'RF__n_estimators': 161, 'RF__max_features': 0.6500000000000001, 'RF__max_depth': 19}",feature_AAcomposition,RF,0.7422764499521032,0.6260618811568397,0.7747204436894305,0.5288690476190475,0.8787187221033049
"{'RF__n_estimators': 81, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 13}",feature_AAcomposition,RF,0.7457216392415426,0.6202984334532682,0.7830408006031141,0.5184948979591837,0.8778054657567049
"{'RF__n_estimators': 91, 'RF__max_features': 0.1, 'RF__max_depth': 21}",feature_AAcomposition,RF,0.743049756967731,0.6087209116021473,0.7841466428690795,0.5017431972789116,0.882141511178226
"{'RF__n_estimators': 161, 'RF__max_features': 0.25000000000000006, 'RF__max_depth': 43}",feature_AAcomposition,RF,0.7416762858560627,0.62175892974016,0.7840628274438963,0.5184948979591837,0.8813914800235227
"{'RF__n_estimators': 191, 'RF__max_features': 0.5500000000000002, 'RF__max_depth': 15}",feature_AAcomposition,RF,0.7439323139354396,0.623417617374436,0.7755073386003246,0.5247023809523811,0.8766995389511167
"{'RF__n_estimators': 101, 'RF__max_features': 0.1, 'RF__max_depth': 17}",feature_AAcomposition,RF,0.7502217395439746,0.6043724701680281,0.7887324154104715,0.4935374149659864,0.8826503041350641
"{'RF__n_estimators': 161, 'RF__max_features': 0.7000000000000002, 'RF__max_depth': 19}",feature_AAcomposition,RF,0.7428507035079351,0.622309756851044,0.7575282915685392,0.5310374149659863,0.8784775806275575
"{'RF__n_estimators': 61, 'RF__max_features': 0.20000000000000004, 'RF__max_depth': 11}",feature_AAcomposition,RF,0.7446363213313572,0.5958498625285455,0.8052625060125059,0.4769982993197279,0.8756499532883076
"{'RF__n_estimators': 161, 'RF__max_features': 0.40000000000000013, 'RF__max_depth': 23}",feature_AAcomposition,RF,0.7435827884527826,0.6238474041170018,0.7742037891781725,0.5267431972789116,0.8808254479354002
